
 subsite  | node  | sensor       | bin        | method    | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
----------+-------+--------------+------------+-----------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+-------------+--------------------------+-----------------------------+-----------------------------+----------------------------+-------------------+-----------------+-----------------+----------------+-------------
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered |  3634245023.388999939 |          2 |         3634245016 |  3634245023.388999939 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634248624.1599998474 |          2 |         3634248616 | 3634248624.1599998474 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634252223.0830001831 |          2 |         3634252215 | 3634252223.0830001831 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered |  3634255821.993999958 |          2 |         3634255814 |  3634255821.993999958 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634259424.6199998856 |          2 |         3634259417 | 3634259424.6199998856 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634263022.3059997559 |          2 |         3634263015 | 3634263022.3059997559 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered |  3634266624.381000042 |          2 |         3634266617 |  3634266624.381000042 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634270222.7630000114 |          2 |         3634270215 | 3634270222.7630000114 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634273823.1579999924 |          2 |         3634273815 | 3634273823.1579999924 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634277421.9539999962 |          2 |         3634277414 | 3634277421.9539999962 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634281023.2039999962 |          2 |         3634281016 | 3634281023.2039999962 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634284623.2300000191 |          2 |         3634284616 | 3634284623.2300000191 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634288222.8559999466 |          2 |         3634288215 | 3634288222.8559999466 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634291823.1700000763 |          2 |         3634291815 | 3634291823.1700000763 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634295423.3819999695 |          2 |         3634295416 | 3634295423.3819999695 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            1001 |              76 |            185 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634299022.2810001373 |          2 |         3634299015 | 3634299022.2810001373 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634302622.9089999199 |          2 |         3634302615 | 3634302622.9089999199 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             724 |             102 |            158 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634306222.1830000877 |          2 |         3634306214 | 3634306222.1830000877 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634309823.5679998398 |          2 |         3634309816 | 3634309823.5679998398 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634313422.2989997864 |          2 |         3634313415 | 3634313422.2989997864 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634317023.1079998016 |          2 |         3634317015 | 3634317023.1079998016 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634320623.8359999657 |          2 |         3634320616 | 3634320623.8359999657 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634324222.0640001297 |          2 |         3634324214 | 3634324222.0640001297 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3634243200 | recovered | 3634327822.1610002518 |          2 |         3634327814 | 3634327822.1610002518 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |               0 |               0 |              0 |        null

(24 rows)
